id,source_group,asset_path,decision
Z054,Z,assets/zotero/Environmental-Science-Technology/5MG2BU2F/ZOT-5MG2BU2F-CZRETYMX-FIG4-P6.png,delete
Z055,Z,assets/zotero/Environmental-Science-Technology/7AT9PVDU/ZOT-7AT9PVDU-6RFKXW3Q-FIG2-P4.png,delete
Z056,Z,assets/zotero/Environmental-Science-Technology/8SBRRE8F/ZOT-8SBRRE8F-WH9VK8D3-FIG5-P7.png,delete
Z057,Z,assets/zotero/Environmental-Science-Technology/A5DNR89M/ZOT-A5DNR89M-TKLU76QY-FIG2-P4.png,delete
Z058,Z,assets/zotero/Environmental-Science-Technology/BSV4JMQQ/ZOT-BSV4JMQQ-RTP7Q3IV-FIG1-P3.png,delete
Z059,Z,assets/zotero/Environmental-Science-Technology/BSV4JMQQ/ZOT-BSV4JMQQ-RTP7Q3IV-FIGGA-P1.png,keep
Z060,Z,assets/zotero/Environmental-Science-Technology/DNGW7PKE/ZOT-DNGW7PKE-4KT4HFCD-FIG2-P4.png,delete
Z061,Z,assets/zotero/Environmental-Science-Technology/F4KH9R3X/ZOT-F4KH9R3X-E6HXX9ZS-FIG3-P5.png,delete
Z062,Z,assets/zotero/Environmental-Science-Technology/G8YY3IAB/ZOT-G8YY3IAB-U8HGNMEE-FIG2-P4.png,delete
Z063,Z,assets/zotero/Environmental-Science-Technology/HSC9TJ4H/ZOT-HSC9TJ4H-9IJYFX6Q-FIG2-P4.png,delete
Z064,Z,assets/zotero/Environmental-Science-Technology/JQ9C9QLL/ZOT-JQ9C9QLL-3BAMMAYZ-FIG1-P3.png,delete
Z065,Z,assets/zotero/Environmental-Science-Technology/K2MQJ2Z7/ZOT-K2MQJ2Z7-XYWN6V5F-FIG3-P5.png,delete
Z066,Z,assets/zotero/Environmental-Science-Technology/L8J9PWV9/ZOT-L8J9PWV9-M2XPTB8B-FIG2-P4.png,delete
Z067,Z,assets/zotero/Environmental-Science-Technology/Q79M4AZN/ZOT-Q79M4AZN-W5P3P5L8-FIG4-P6.png,delete
Z068,Z,assets/zotero/Environmental-Science-Technology/RH2KH9T8/ZOT-RH2KH9T8-SZDDJSSQ-FIG1-P3.png,delete
Z069,Z,assets/zotero/Environmental-Science-Technology/VJS4GYNQ/ZOT-VJS4GYNQ-VMKQJBMW-FIG3-P5.png,delete
Z070,Z,assets/zotero/Environmental-Science-Technology/W7L5EHV7/ZOT-W7L5EHV7-NXST2C32-FIG1-P3.png,delete
Z071,Z,assets/zotero/Environmental-Science-Technology/W7L5EHV7/ZOT-W7L5EHV7-NXST2C32-FIG4-P6.png,delete
Z072,Z,assets/zotero/Environmental-Science-Technology/W7L5EHV7/ZOT-W7L5EHV7-NXST2C32-FIG7-P10.png,keep
Z073,Z,assets/zotero/Frontiers-in-Microbiology/6S7YJ9FY/ZOT-6S7YJ9FY-GKJ4B8BQ-FIG2-P4.png,delete
Z074,Z,assets/zotero/Frontiers-in-Microbiology/DTRHFMJU/ZOT-DTRHFMJU-BQVCNKID-FIG3-P5.png,delete
Z075,Z,assets/zotero/ISME-Communications/9S55V8FX/ZOT-9S55V8FX-VULWX6X4-FIG2-P4.png,delete
Z076,Z,assets/zotero/ISME-Communications/JSFH4QAB/ZOT-JSFH4QAB-YGDV5WZR-FIG1-P3.png,delete
Z077,Z,assets/zotero/ISME-Communications/ZEMR5578/ZOT-ZEMR5578-MVJMFUN7-FIG2-P4.png,delete
Z078,Z,assets/zotero/ISME-Communications/ZEMR5578/ZOT-ZEMR5578-MVJMFUN7-FIG5-P9.png,keep
Z079,Z,assets/zotero/ISME-Journal/23QJ4WQZ/ZOT-23QJ4WQZ-ZX6A7I5D-FIG4-P6.png,delete
Z080,Z,assets/zotero/ISME-Journal/4RBX5N8K/ZOT-4RBX5N8K-MSWC68BL-FIG2-P4.png,delete
Z081,Z,assets/zotero/ISME-Journal/6LZ78HVF/ZOT-6LZ78HVF-7B6SHTKC-FIG1-P3.png,delete
Z082,Z,assets/zotero/ISME-Journal/9VGF95MD/ZOT-9VGF95MD-XPJ86QB5-FIG3-P5.png,delete
Z083,Z,assets/zotero/ISME-Journal/A3APNQ6H/ZOT-A3APNQ6H-M5RNVKM6-FIG2-P4.png,delete
Z084,Z,assets/zotero/ISME-Journal/DCSJB3N4/ZOT-DCSJB3N4-BMYE3L8K-FIG4-P6.png,delete
Z085,Z,assets/zotero/ISME-Journal/E87XJUDZ/ZOT-E87XJUDZ-8QPZDY4Y-FIG2-P4.png,delete
Z086,Z,assets/zotero/ISME-Journal/FGDPLTBZ/ZOT-FGDPLTBZ-RGVMPGKG-FIG3-P5.png,delete
Z087,Z,assets/zotero/ISME-Journal/H8F9N2QT/ZOT-H8F9N2QT-9VZGRSQB-FIG2-P4.png,delete
Z088,Z,assets/zotero/ISME-Journal/KVJ8XW6M/ZOT-KVJ8XW6M-4RQNBANZ-FIG1-P3.png,delete
Z089,Z,assets/zotero/ISME-Journal/L5E7P6VC/ZOT-L5E7P6VC-AVPP3DD7-FIG2-P4.png,delete
Z090,Z,assets/zotero/ISME-Journal/M8IK24NP/ZOT-M8IK24NP-77RN2D5Y-FIG3-P5.png,delete
Z091,Z,assets/zotero/ISME-Journal/N67TCZGR/ZOT-N67TCZGR-BAZYMCCX-FIG2-P4.png,delete
Z092,Z,assets/zotero/ISME-Journal/QZ2TGXBJ/ZOT-QZ2TGXBJ-X5WUC6LA-FIG4-P6.png,delete
Z093,Z,assets/zotero/ISME-Journal/R38EUWC7/ZOT-R38EUWC7-7FNVCG9W-FIG2-P4.png,delete
Z094,Z,assets/zotero/ISME-Journal/TJWRFY4Q/ZOT-TJWRFY4Q-77I9W1IV-FIG3-P5.png,delete
Z095,Z,assets/zotero/Nature-Communications/3V6YUZ7I/ZOT-3V6YUZ7I-QEBQYDNC-FIG3-P5.png,delete
Z096,Z,assets/zotero/Nature-Communications/5I7WJUY6/ZOT-5I7WJUY6-ZXE2T9QH-FIG1-P3.png,keep
Z097,Z,assets/zotero/Nature-Communications/6NV7H8SC/ZOT-6NV7H8SC-8ARZXCQK-FIG2-P5.png,keep
Z098,Z,assets/zotero/Nature-Communications/8FY5ZKM4/ZOT-8FY5ZKM4-4FPK3WPC-FIG3-P5.png,delete
Z099,Z,assets/zotero/Nature-Communications/9U3Z5YFD/ZOT-9U3Z5YFD-3K7UZGQG-FIG2-P4.png,delete
Z100,Z,assets/zotero/Nature-Communications/A7V6TA3K/ZOT-A7V6TA3K-3XQX9LWF-FIG4-P6.png,delete
Z101,Z,assets/zotero/Nature-Communications/CGYTSIWI/ZOT-CGYTSIWI-6M9QKKQR-FIG2-P4.png,delete
Z102,Z,assets/zotero/Nature-Communications/FBUJB7HZ/ZOT-FBUJB7HZ-9Y9ZJZQD-FIG1-P3.png,delete
Z103,Z,assets/zotero/Nature-Communications/GQBZ7PTW/ZOT-GQBZ7PTW-6YFJG7K9-FIG2-P4.png,delete
Z104,Z,assets/zotero/Nature-Communications/K9U2MHWG/ZOT-K9U2MHWG-EMFPBXWF-FIG4-P6.png,delete
Z105,Z,assets/zotero/Nature-Communications/N4LUKWCD/ZOT-N4LUKWCD-GIC89IGR-FIG3-P5.png,delete
